"ID","Day","Quantity"
"100761","26","14597"
"101016","26","31143"
"102904","26","9938"
"103294","26","28890"
"104994","26","14806"
"105192","26","13884"
"105225","26","28352"
"107284","26","11400"
"107909","26","14795"
"108613","26","23405"
"109056","26","5000"
"110488","26","16000"
"110670","26","16500"
"111823","26","10000"
"112003","26","21000"
"112121","26","16000"
"113376","26","11500"
"113740","26","15000"
"116207","26","500"
"117086","26","2000"
"117301","26","1500"
"2","29","5757"
"4","29","8273"
"14","29","9808"
"18","29","7396"
"33","29","6672"
"47","29","6233"
"544","29","426"
"572","29","965"
"600","29","4789"
"743","29","3668"
"863","29","6704"
"1061","29","6820"
"1389","29","5491"
"18211","29","5065"
"22022","29","33504"
"23043","29","5487"
"24089","29","5296"
"28171","29","6023"
"57357","29","26722"
"60691","29","5245"
"69486","29","21680"
"95660","29","22933"
"95841","29","13464"
"96011","29","13704"
"100761","29","14597"
"101016","29","31143"
"102904","29","9938"
"103294","29","28890"
"104994","29","14806"
"105192","29","13884"
"105225","29","28352"
"107284","29","11400"
"107909","29","14795"
"108613","29","23405"
"109056","29","5000"
"110488","29","16000"
"110670","29","16500"
"111823","29","10000"
"112003","29","21000"
"112121","29","16000"
"113376","29","11500"
"113740","29","15000"
"116207","29","500"
"117086","29","2000"
"117301","29","1500"
"2","30","5757"
"4","30","8273"
"14","30","9808"
"18","30","7396"
"33","30","6672"
"47","30","6233"
"544","30","426"
"572","30","965"
"600","30","4789"
"743","30","3668"
"863","30","6704"
"1061","30","6820"
"1389","30","5491"
"18211","30","5065"
"22022","30","33504"
"23043","30","5487"
"24089","30","5296"
"28171","30","6023"
"57357","30","26722"
"60691","30","5245"
"69486","30","21680"
"95660","30","22933"
"95841","30","13464"
"96011","30","13704"
"100761","30","14597"
"101016","30","31143"
"102904","30","9938"
"103294","30","28890"
"104994","30","14806"
"105192","30","13884"
"105225","30","28352"
"107284","30","11400"
"107909","30","14795"
"108613","30","23405"
"109056","30","5000"
"110488","30","16000"
"110670","30","16500"
"111823","30","10000"
"112003","30","21000"
"112121","30","16000"
"113376","30","11500"
"113740","30","15000"
"116207","30","500"
"117086","30","2000"
"117301","30","1500"
"2","31","5757"
"4","31","8273"
"14","31","9808"
"18","31","7396"
"33","31","6672"
"47","31","6233"
"544","31","426"
"572","31","965"
"600","31","4789"
"743","31","3668"
"863","31","6704"
"1061","31","6820"
"1389","31","5491"
"18211","31","5065"
"22022","31","33504"
"23043","31","5487"
"24089","31","5296"
"28171","31","6023"
"57357","31","26722"
"60691","31","5245"
"69486","31","21680"
"95660","31","22933"
"95841","31","13464"
"96011","31","13704"
"100761","31","14597"
"101016","31","31143"
"102904","31","9938"
"103294","31","28890"
"104994","31","14806"
"105225","31","28352"
"107284","31","11400"
"107909","31","14795"
"108613","31","23405"
"109056","31","5000"
"110488","31","16000"
"110670","31","16500"
"111823","31","10000"
"112003","31","21000"
"112121","31","16000"
"113376","31","11500"
"113740","31","15000"
"116207","31","500"
"117086","31","2000"
"117301","31","1500"
"2","32","5757"
"4","32","8273"
"14","32","9808"
"18","32","7396"
"33","32","6672"
"47","32","6233"
"544","32","426"
"572","32","965"
"600","32","4789"
"743","32","3668"
"863","32","6704"
"1061","32","6820"
"1389","32","5491"
"18211","32","5065"
"22022","32","33504"
"23043","32","5487"
"24089","32","5296"
"28171","32","6023"
"57357","32","26722"
"60691","32","5245"
"69486","32","21680"
"95660","32","22933"
"95841","32","13464"
"96011","32","13704"
"100761","32","14597"
"101016","32","31143"
"102904","32","9938"
"103294","32","28890"
"104994","32","14806"
"105225","32","28352"
"107284","32","11400"
"107909","32","14795"
"108613","32","23405"
"109056","32","5000"
"110488","32","16000"
"110670","32","16500"
"111823","32","10000"
"112003","32","21000"
"112121","32","16000"
"113376","32","11500"
"113740","32","15000"
"116207","32","500"
"117086","32","2000"
"117301","32","1500"
"117489","32","4000"
"2","33","5757"
"4","33","8273"
"14","33","9808"
"18","33","7396"
"33","33","6672"
"47","33","6233"
"544","33","426"
"572","33","965"
"600","33","4789"
"743","33","3668"
"863","33","6704"
"1061","33","6820"
"1389","33","5491"
"18211","33","5065"
"22022","33","33504"
"23043","33","5487"
"24089","33","5296"
"28171","33","6023"
"57357","33","26722"
"60691","33","5245"
"69486","33","21680"
"95660","33","22933"
"95841","33","13464"
"96011","33","13704"
"100761","33","14597"
"101016","33","31143"
"102904","33","9938"
"103294","33","28890"
"104994","33","14806"
"105225","33","28352"
"107284","33","11400"
"107909","33","14795"
"108613","33","23405"
"109056","33","5000"
"110488","33","16000"
"110670","33","16500"
"111823","33","10000"
"112003","33","21000"
"112121","33","16000"
"113376","33","11500"
"113740","33","15000"
"116207","33","500"
"117086","33","2000"
"117301","33","1500"
"117489","33","4000"
"2","36","5757"
"4","36","8273"
"14","36","9808"
"18","36","7396"
"33","36","6672"
"47","36","6233"
"544","36","426"
"572","36","965"
"600","36","4789"
"743","36","3668"
"863","36","6704"
"1061","36","6820"
"1389","36","5491"
"18211","36","5065"
"22022","36","33504"
"23043","36","5487"
"24089","36","5296"
"28171","36","6023"
"57357","36","26722"
"60691","36","5245"
"69486","36","21680"
"95660","36","22933"
"95841","36","13464"
"96011","36","13704"
"100761","36","14597"
"101016","36","31143"
"102904","36","9938"
"103294","36","28890"
"104994","36","14806"
"105225","36","28352"
"107284","36","11400"
"107909","36","14795"
"108613","36","23405"
"109056","36","5000"
"110488","36","16000"
"110670","36","16500"
"111823","36","10000"
"112003","36","21000"
"112121","36","16000"
"113376","36","11500"
"113740","36","15000"
